,YRMNTH,Entity_Type,Ntr_Of_Bsns_Sctr1,MINR_HD_CD,Total_Amount
144,201703,Company,Manufacturing,100,3.57E+11
145,201704,Company,Manufacturing,100,34051659
146,201705,Company,Manufacturing,100,236094400
147,201706,Company,Manufacturing,100,1.77E+11
148,201707,Company,Manufacturing,100,351135564
149,201708,Company,Manufacturing,100,572368652
150,201709,Company,Manufacturing,100,3.62E+11
151,201710,Company,Manufacturing,100,790316751
152,201711,Company,Manufacturing,100,2012582874
153,201712,Company,Manufacturing,100,4.41E+11
154,201801,Company,Manufacturing,100,1847752129
155,201802,Company,Manufacturing,100,3025730320
156,201803,Company,Manufacturing,100,4.07E+11
157,201804,Company,Manufacturing,100,154146571
158,201805,Company,Manufacturing,100,138280928
159,201806,Company,Manufacturing,100,2.25E+11
160,201807,Company,Manufacturing,100,623251598
161,201808,Company,Manufacturing,100,656045971
162,201809,Company,Manufacturing,100,4.39E+11
163,201810,Company,Manufacturing,100,859769564
164,201811,Company,Manufacturing,100,1767905468
165,201812,Company,Manufacturing,100,4.73E+11
166,201901,Company,Manufacturing,100,5890302519
167,201902,Company,Manufacturing,100,3393861358
168,201903,Company,Manufacturing,100,4.34E+11
169,201904,Company,Manufacturing,100,248382073
170,201905,Company,Manufacturing,100,395496738
171,201906,Company,Manufacturing,100,2.32E+11
172,201907,Company,Manufacturing,100,781040214
173,201908,Company,Manufacturing,100,983439489
174,201909,Company,Manufacturing,100,3.92E+11
175,201910,Company,Manufacturing,100,901913277
176,201911,Company,Manufacturing,100,1280988325
177,201912,Company,Manufacturing,100,2.54E+11
178,202001,Company,Manufacturing,100,2515427989
179,202002,Company,Manufacturing,100,4694507212
180,202003,Company,Manufacturing,100,3.1E+11
181,202004,Company,Manufacturing,100,278633707
182,202005,Company,Manufacturing,100,2920523837
183,202006,Company,Manufacturing,100,1.14E+11
184,202007,Company,Manufacturing,100,1414543706
185,202008,Company,Manufacturing,100,1275862829
186,202009,Company,Manufacturing,100,2.83E+11
187,202010,Company,Manufacturing,100,2375331796
188,202011,Company,Manufacturing,100,1791060987
189,202012,Company,Manufacturing,100,4.04E+11
190,202101,Company,Manufacturing,100,2531407065
191,202102,Company,Manufacturing,100,3101902649
192,202103,Company,Manufacturing,100,4.86E+11
193,202104,Company,Manufacturing,100,239905172
194,202105,Company,Manufacturing,100,427633025
195,202106,Company,Manufacturing,100,2.09E+11
196,202107,Company,Manufacturing,100,1346846510
197,202108,Company,Manufacturing,100,2022798275
198,202109,Company,Manufacturing,100,4.85E+11
199,202110,Company,Manufacturing,100,2229536588
200,202111,Company,Manufacturing,100,2611414197
201,202112,Company,Manufacturing,100,5.76E+11
202,202201,Company,Manufacturing,100,3440819778
203,202202,Company,Manufacturing,100,4453884516
204,202203,Company,Manufacturing,100,5.58E+11
205,202204,Company,Manufacturing,100,247626621
206,202205,Company,Manufacturing,100,461948159
207,202206,Company,Manufacturing,100,2.7E+11
208,202207,Company,Manufacturing,100,1288937315
209,202208,Company,Manufacturing,100,1562759283
210,202209,Company,Manufacturing,100,4.93E+11
211,202210,Company,Manufacturing,100,2325830934
212,202211,Company,Manufacturing,100,2457427309
213,202212,Company,Manufacturing,100,3.86E+11
